"Edit","Context Information","⇧⌃Space","In Dialogs and Windows"
"Worksheet commands","Evaluate Script","⇧⌘B","Editing Scala Worksheet"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Source","Add JSDoc Comment","⌥⌘J","JavaScript View"
"File","New","⌘N","In Windows"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Navigate","Open Manifest","⇧⌥⌘M","In Windows"
"Refactor - JavaScript","Inline","⌥⌘I","JavaScript View"
"Navigate","Next","⌘.","In Windows"
"Source","Quick Assist - Rename in file","⌘2 R","Editing JavaScript Source"
"AnyEdit Tools","Open File under Cursor","⌃⌥R","Editing Text"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Navigate","Forward History","⌘]","In Windows"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Task Editor","Submit Task","⇧⌥S","In Tasks Editor"
"AnyEdit Tools","Tabs to Spaces","⌃⌥Space","Editing Text"
"Navigate","Open Call Hierarchy","⌃⌥H","JavaScript View"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Navigate","Open External JSDoc","⇧F2","JavaScript View"
"Text Editing","Line Start","⌘←","Editing Text"
"Navigate","Forward History","⌥⌘→","In Windows"
"Task","Show Context Quick View","⇧⌥⌘→","In Windows"
"Run/Debug","Run JUnit Plug-in Test","⌥⌘X P","In Windows"
"Navigate","Open Declaration","F3","JavaScript View"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Edit","Find Next","⌘K","Editing Text"
"Edit","Move","⇧⌥V","Editing JSP Source"
"Views","Show View ()","⌥⌘Q D","In Windows"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Run/Debug","Debug Eclipse Application","⌃⌥⌘D E","In Windows"
"Task","Mark Task Incomplete","⇧⌥I","In Tasks View"
"Scala Editor","Run Scala Application","⇧⌥X S","In Windows"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"Navigate","Backward History","⌘[","In Windows"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Navigate","Open Declaration","F3","In Windows"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Source","Add Import","⇧⌘M","Editing JavaScript Source"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"Views","Show View","⌥⌘Q Q","In Windows"
"Navigate","Open Plug-in Artifact","⇧⌘A","In Windows"
"Server","Debug","⌥⌘D","In Servers View"
"Views","Show View (Declaration)","⌥⌘Q D","JavaScript View"
"Navigate","Open Structure","⌘F3","Editing JavaScript Source"
"Edit","Show Man Pages","F2","Editing Shell Source"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Refactor - JavaScript","Rename - Refactoring ","⌥⌘R","JavaScript View"
"Edit","Restore Last Selection","⇧⌃↓","Editing JavaScript Source"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Git","Commit...","⌘#","In Windows"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Edit","Word Completion","⌃.","Editing Text"
"Navigate","Quick Hierarchy","⌃T","Editing Java Source"
"Source","Indent Line","⌘I","Editing JavaScript Source"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Navigate","Matching Bracket","⇧⌘P","Editing in Structured Text Editors"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"Run/Debug","Debug OSGi Framework","⌃⌥⌘D O","In Windows"
"File","Close All","⇧⌘W","In Windows"
"Task","Make Landmark","⇧⌥⌘↑","In Windows"
"Views","Show View (Script Explorer)","⌥⌘Q P","JavaScript View"
"Navigate","Quick Hierarchy","⌃T","Editing Java Source"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Task Editor","Maximize Part","⇧⌘M","In Tasks Editor"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Source","Organize Imports","⇧⌘O","JavaScript View"
"Edit","Find and Replace","⌘F","In Windows"
"Task","Mark Task Complete","⇧⌥C","In Tasks Editor"
"Refactor - Java","Extract Constant","⌥⌘K","In Windows"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Window","Switch to Editor","⇧⌘E","In Windows"
"File","Rename","F2","In Windows"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Text Editing","Select Previous Word","⇧⌥←","Editing Text"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Run/Debug","Run OSGi Framework","⌥⌘X O","In Windows"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"Run/Debug","Step Return","F7","Debugging"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"AnyEdit Tools","Chars to Html Entities","⌃⌥E","Editing Text"
"Refactor - Scala","Rename","⌥⌘R","Editing Scala Source"
